time,open,high,low,close,Volume
2025-02-20,7.2828,7.2828,7.255,7.255,0
2025-02-21,7.255,7.256,7.2373,7.25,0
2025-02-24,7.2496,7.251,7.2286,7.2471,0
2025-02-25,7.2471,7.2651,7.2471,7.2507,0
2025-02-26,7.2507,7.2613,7.2507,7.259,0
2025-02-27,7.259,7.2861,7.259,7.2848,0
2025-02-28,7.2848,7.2904,7.2781,7.2823,0
2025-03-03,7.2823,7.2931,7.2794,7.2843,0
2025-03-04,7.287,7.2882,7.2567,7.2651,0
2025-03-05,7.2646,7.2722,7.2501,7.2501,0
2025-03-06,7.2409,7.2475,7.2375,7.2463,0
2025-03-07,7.2463,7.2526,7.2275,7.2335,0
2025-03-10,7.2422,7.2645,7.2422,7.2586,0
2025-03-11,7.2586,7.259,7.2261,7.2273,0
2025-03-12,7.2187,7.2474,7.2165,7.2366,0
2025-03-13,7.2366,7.2456,7.2302,7.2434,0
2025-03-14,7.2434,7.2508,7.2291,7.2372,0
2025-03-17,7.2372,7.2407,7.2237,7.2327,0
2025-03-18,7.2322,7.2355,7.2219,7.2268,0
2025-03-19,7.2268,7.2377,7.2268,7.2296,0
2025-03-20,7.2296,7.2477,7.2253,7.2477,0
2025-03-21,7.2472,7.2526,7.2451,7.2485,0
2025-03-24,7.2481,7.26,7.2481,7.2526,0
2025-03-25,7.2526,7.2633,7.2526,7.2564,0
2025-03-26,7.2602,7.2673,7.2602,7.267,0
2025-03-27,7.2635,7.2671,7.2601,7.264,0
2025-03-28,7.264,7.2655,7.2617,7.2623,0
2025-03-31,7.2569,7.2582,7.2474,7.2562,0
2025-04-01,7.2562,7.2697,7.2562,7.2692,0
2025-04-02,7.2708,7.2714,7.267,7.267,0
2025-04-03,7.267,7.3042,7.267,7.2808,0
2025-04-04,7.2808,7.2808,7.2808,7.2808,0
2025-04-07,7.2808,7.3176,7.2808,7.3076,0
2025-04-08,7.3332,7.3388,7.3275,7.3383,0
2025-04-09,7.3383,7.3499,7.3383,7.3494,0
2025-04-10,7.3494,7.3504,7.3135,7.3135,0
2025-04-11,7.3068,7.3253,7.2911,7.2911,0
2025-04-14,7.2911,7.3128,7.2911,7.3114,0
2025-04-15,7.3077,7.3175,7.3055,7.3146,0
2025-04-16,7.3146,7.3279,7.3015,7.3048,0
2025-04-17,7.3048,7.313,7.294,7.2985,0
2025-04-18,7.2985,7.3043,7.2872,7.299,0
2025-04-21,7.299,7.299,7.2829,7.2909,0
2025-04-22,7.2909,7.3141,7.2909,7.3113,0
2025-04-23,7.3113,7.3113,7.2855,7.2855,0
2025-04-24,7.2855,7.3008,7.2855,7.2874,0
2025-04-25,7.2932,7.297,7.2829,7.2859,0
2025-04-28,7.2859,7.3006,7.2859,7.2937,0
2025-04-29,7.2937,7.2937,7.2599,7.2685,0
2025-04-30,7.2685,7.2763,7.2615,7.2701,0
2025-05-01,7.2701,7.2701,7.2701,7.2701,0
2025-05-02,7.2701,7.2706,7.2701,7.2706,0
2025-05-05,7.2701,7.2701,7.2701,7.2701,0
2025-05-06,7.2701,7.2701,7.211,7.2159,0
2025-05-07,7.2186,7.2326,7.2186,7.2245,0
2025-05-08,7.2245,7.2408,7.2245,7.2335,0
2025-05-09,7.243,7.2514,7.2359,7.2359,0
2025-05-12,7.227,7.2295,7.2004,7.2018,0
2025-05-13,7.2013,7.2057,7.1869,7.2057,0
2025-05-14,7.2052,7.2181,7.2015,7.2075,0
2025-05-15,7.2075,7.2171,7.2049,7.2062,0
2025-05-16,7.2036,7.209,7.199,7.2085,0
2025-05-19,7.2075,7.2163,7.2075,7.2139,0
2025-05-20,7.2139,7.2246,7.2139,7.2189,0
2025-05-21,7.2179,7.2182,7.2014,7.2014,0
2025-05-22,7.2014,7.2078,7.1965,7.2032,0
2025-05-23,7.2032,7.2035,7.1793,7.1793,0
2025-05-26,7.1793,7.1892,7.168,7.186,0
2025-05-27,7.186,7.1946,7.186,7.1936,0
2025-05-28,7.1945,7.2022,7.1889,7.1936,0
2025-05-29,7.1936,7.2097,7.185,7.185,0
2025-05-30,7.185,7.1995,7.1836,7.1986,0
