time,open,high,low,close,Correlation
2025-12-02,7.0712,7.0767,7.0691,7.0695,0.551771110935009
2025-12-03,7.0695,7.0695,7.0618,7.0631,0.5248448252222722
2025-12-04,7.0631,7.0714,7.0631,7.0709,0.5128658927352668
2025-12-05,7.0709,7.0719,7.0678,7.0696,0.5072697808973834
2025-12-08,7.0691,7.0712,7.0674,7.0705,0.43486072940860876
2025-12-09,7.0713,7.0717,7.0628,7.0628,0.40203504141687546
2025-12-10,7.0628,7.0666,7.0608,7.0635,0.41146030604705053
2025-12-11,7.0635,7.0635,7.0572,7.0574,0.35875013475534634
2025-12-12,7.0574,7.0574,7.0543,7.0543,0.3193991594117685
2025-12-15,7.0543,7.0551,7.0467,7.0467,0.2709307382730371
2025-12-16,7.0467,7.0467,7.0412,7.0412,0.2773801124431509
2025-12-17,7.0412,7.0463,7.0412,7.0429,0.2239550722348037
2025-12-18,7.0429,7.0451,7.0405,7.0406,0.13620148166716445
2025-12-19,7.0406,7.0417,7.0403,7.0403,0.09370339143466147
2025-12-22,7.0403,7.0408,7.0361,7.0361,-0.04523214255705563
2025-12-23,7.0361,7.0372,7.0275,7.0275,-0.08740677858131476
2025-12-24,7.0275,7.0289,7.013,7.0137,-0.12932284527130067
2025-12-25,7.0126,7.0145,7.0053,7.0053,-0.15028087861629366
2025-12-26,7.008,7.0104,7.0058,7.0058,-0.19530737586714156
2025-12-29,7.0058,7.0169,7.0051,7.0051,-0.10061543396317199
2025-12-30,7.0051,7.007,6.9876,6.9956,-0.03766185289736082
2025-12-31,6.9921,7.0012,6.987,6.9926,0.010268666608067065
2026-01-01,6.9926,6.9926,6.9885,6.9926,0.033983206568191024
2026-01-02,6.9926,6.9931,6.9885,6.9926,0.04893228416461502
